initial_location,seating_capacity,start_service_time,end_service_time
41788,4,1,108000
140527,4,1,108000
73177,4,1,108000
98048,4,1,108000
137935,4,1,108000
72003,4,1,108000
117924,4,1,108000
125074,4,1,108000
40395,4,1,108000
131042,4,1,108000
23975,4,1,108000
80474,4,1,108000
71808,4,1,108000
113327,4,1,108000
112532,4,1,108000
109692,4,1,108000
151587,4,1,108000
119722,4,1,108000
33237,4,1,108000
108898,4,1,108000
20915,4,1,108000
72261,4,1,108000
29460,4,1,108000
51416,4,1,108000
155574,4,1,108000
15055,4,1,108000
95215,4,1,108000
88293,4,1,108000
89748,4,1,108000
108237,4,1,108000
104995,4,1,108000
144753,4,1,108000
117224,4,1,108000
128202,4,1,108000
156980,4,1,108000
142668,4,1,108000
140916,4,1,108000
63193,4,1,108000
137935,4,1,108000
122843,4,1,108000
62790,4,1,108000
95283,4,1,108000
79044,4,1,108000
129134,4,1,108000
91605,4,1,108000
93954,4,1,108000
154142,4,1,108000
95507,4,1,108000
149692,4,1,108000
61128,4,1,108000
139269,4,1,108000
107965,4,1,108000
36634,4,1,108000
138845,4,1,108000
17723,4,1,108000
113593,4,1,108000
46193,4,1,108000
64440,4,1,108000
30357,4,1,108000
87061,4,1,108000
143438,4,1,108000
86167,4,1,108000
69637,4,1,108000
70780,4,1,108000
63962,4,1,108000
24481,4,1,108000
52163,4,1,108000
84809,4,1,108000
3164,4,1,108000
154009,4,1,108000
140916,4,1,108000
43058,4,1,108000
53631,4,1,108000
52257,4,1,108000
92695,4,1,108000
53726,4,1,108000
151659,4,1,108000
83851,4,1,108000
46193,4,1,108000
23579,4,1,108000
119838,4,1,108000
94700,4,1,108000
149491,4,1,108000
115538,4,1,108000
34245,4,1,108000
38103,4,1,108000
126459,4,1,108000
81122,4,1,108000
138676,4,1,108000
156459,4,1,108000
62910,4,1,108000
31729,4,1,108000
38718,4,1,108000
56533,4,1,108000
47831,4,1,108000
81404,4,1,108000
157569,4,1,108000
18942,4,1,108000
139113,4,1,108000
107045,4,1,108000
12614,4,1,108000
68038,4,1,108000
159051,4,1,108000
38387,4,1,108000
82415,4,1,108000
89577,4,1,108000
49303,4,1,108000
51354,4,1,108000
126852,4,1,108000
31995,4,1,108000
48181,4,1,108000
53631,4,1,108000
125649,4,1,108000
43443,4,1,108000
11940,4,1,108000
32971,4,1,108000
99877,4,1,108000
30245,4,1,108000
149011,4,1,108000
117174,4,1,108000
126408,4,1,108000
111524,4,1,108000
98634,4,1,108000
143298,4,1,108000
84071,4,1,108000
84287,4,1,108000
71635,4,1,108000
121787,4,1,108000
26653,4,1,108000
22711,4,1,108000
115727,4,1,108000
89909,4,1,108000
158576,4,1,108000
57279,4,1,108000
106831,4,1,108000
144043,4,1,108000
155601,4,1,108000
128834,4,1,108000
30498,4,1,108000
83520,4,1,108000
64945,4,1,108000
41215,4,1,108000
59619,4,1,108000
17474,4,1,108000
47049,4,1,108000
123147,4,1,108000
118779,4,1,108000
39254,4,1,108000
142764,4,1,108000
18013,4,1,108000
123286,4,1,108000
102791,4,1,108000
39625,4,1,108000
89754,4,1,108000
92938,4,1,108000
15602,4,1,108000
101924,4,1,108000
98521,4,1,108000
159138,4,1,108000
59068,4,1,108000
24840,4,1,108000
16824,4,1,108000
79217,4,1,108000
148104,4,1,108000
125649,4,1,108000
86702,4,1,108000
126635,4,1,108000
12253,4,1,108000
137673,4,1,108000
151587,4,1,108000
115953,4,1,108000
120270,4,1,108000
109039,4,1,108000
95196,4,1,108000
15863,4,1,108000
88293,4,1,108000
2175,4,1,108000
159743,4,1,108000
141974,4,1,108000
20919,4,1,108000
42153,4,1,108000
94746,4,1,108000
67869,4,1,108000
96262,4,1,108000
87184,4,1,108000
21848,4,1,108000
78751,4,1,108000
12480,4,1,108000
43620,4,1,108000
80545,4,1,108000
11334,4,1,108000
38852,4,1,108000
2153,4,1,108000
126183,4,1,108000
130034,4,1,108000
41439,4,1,108000
102685,4,1,108000
91485,4,1,108000
114874,4,1,108000
887,4,1,108000
71651,4,1,108000
141076,4,1,108000
121720,4,1,108000
43982,4,1,108000
70780,4,1,108000
2169,4,1,108000
144578,4,1,108000
46721,4,1,108000
52159,4,1,108000
15055,4,1,108000
9455,4,1,108000
9923,4,1,108000
61871,4,1,108000
154030,4,1,108000
87043,4,1,108000
51600,4,1,108000
36148,4,1,108000
118395,4,1,108000
125655,4,1,108000
26997,4,1,108000
67322,4,1,108000
61360,4,1,108000
97409,4,1,108000
17111,4,1,108000
57279,4,1,108000
144389,4,1,108000
76835,4,1,108000
105269,4,1,108000
67440,4,1,108000
78658,4,1,108000
134640,4,1,108000
142041,4,1,108000
75906,4,1,108000
122175,4,1,108000
3238,4,1,108000
108970,4,1,108000
159295,4,1,108000
84946,4,1,108000
64654,4,1,108000
112109,4,1,108000
36843,4,1,108000
126623,4,1,108000
57625,4,1,108000
119666,4,1,108000
132955,4,1,108000
134555,4,1,108000
55951,4,1,108000
42819,4,1,108000
120746,4,1,108000
57279,4,1,108000
60086,4,1,108000
140977,4,1,108000
71651,4,1,108000
98692,4,1,108000
84671,4,1,108000
102130,4,1,108000
72405,4,1,108000
56011,4,1,108000
121196,4,1,108000
130183,4,1,108000
131520,4,1,108000
143110,4,1,108000
120955,4,1,108000
38329,4,1,108000
87443,4,1,108000
133739,4,1,108000
107480,4,1,108000
159936,4,1,108000
1012,4,1,108000
143983,4,1,108000
67232,4,1,108000
19965,4,1,108000
45014,4,1,108000
51366,4,1,108000
123744,4,1,108000
118735,4,1,108000
139240,4,1,108000
45461,4,1,108000
100672,4,1,108000
112949,4,1,108000
13049,4,1,108000
138966,4,1,108000
52623,4,1,108000
70202,4,1,108000
25870,4,1,108000
106118,4,1,108000
160408,4,1,108000
3187,4,1,108000
72711,4,1,108000
91475,4,1,108000
145888,4,1,108000
77077,4,1,108000
102097,4,1,108000
96939,4,1,108000
56747,4,1,108000
129817,4,1,108000
97151,4,1,108000
37163,4,1,108000
113644,4,1,108000
148809,4,1,108000
59068,4,1,108000
107181,4,1,108000
152340,4,1,108000
143132,4,1,108000
62689,4,1,108000
118395,4,1,108000
51467,4,1,108000
111113,4,1,108000
118186,4,1,108000
22207,4,1,108000
22207,4,1,108000
122841,4,1,108000
125649,4,1,108000
18837,4,1,108000
142666,4,1,108000
65120,4,1,108000
35010,4,1,108000
101984,4,1,108000
38408,4,1,108000
137935,4,1,108000
43292,4,1,108000
2605,4,1,108000
22896,4,1,108000
17444,4,1,108000
17935,4,1,108000
131496,4,1,108000
9077,4,1,108000
158854,4,1,108000
67440,4,1,108000
71375,4,1,108000
50880,4,1,108000
116600,4,1,108000
47681,4,1,108000
137935,4,1,108000
54894,4,1,108000
155528,4,1,108000
110337,4,1,108000
41748,4,1,108000
84436,4,1,108000
63774,4,1,108000
65430,4,1,108000
88104,4,1,108000
82028,4,1,108000
122843,4,1,108000
119489,4,1,108000
82654,4,1,108000
54983,4,1,108000
38681,4,1,108000
78404,4,1,108000
11907,4,1,108000
7307,4,1,108000
160088,4,1,108000
68639,4,1,108000
11686,4,1,108000
13444,4,1,108000
117920,4,1,108000
85327,4,1,108000
96189,4,1,108000
113648,4,1,108000
157191,4,1,108000
54142,4,1,108000
159687,4,1,108000
143005,4,1,108000
60153,4,1,108000
21850,4,1,108000
4328,4,1,108000
154346,4,1,108000
83058,4,1,108000
95958,4,1,108000
45968,4,1,108000
95958,4,1,108000
116782,4,1,108000
15167,4,1,108000
147166,4,1,108000
82063,4,1,108000
105847,4,1,108000
74015,4,1,108000
49343,4,1,108000
132845,4,1,108000
149098,4,1,108000
148028,4,1,108000
132158,4,1,108000
13485,4,1,108000
122422,4,1,108000
156731,4,1,108000
137440,4,1,108000
21609,4,1,108000
69135,4,1,108000
92246,4,1,108000
118395,4,1,108000
65859,4,1,108000
119228,4,1,108000
25591,4,1,108000
16393,4,1,108000
42086,4,1,108000
28375,4,1,108000
14014,4,1,108000
108405,4,1,108000
115416,4,1,108000
102990,4,1,108000
64440,4,1,108000
15415,4,1,108000
113327,4,1,108000
156454,4,1,108000
88413,4,1,108000
10199,4,1,108000
59619,4,1,108000
74013,4,1,108000
102616,4,1,108000
159085,4,1,108000
146609,4,1,108000
9031,4,1,108000
128981,4,1,108000
57279,4,1,108000
112079,4,1,108000
143278,4,1,108000
18562,4,1,108000
149607,4,1,108000
73682,4,1,108000
133720,4,1,108000
2861,4,1,108000
144152,4,1,108000
131042,4,1,108000
68103,4,1,108000
125501,4,1,108000
28103,4,1,108000
142609,4,1,108000
115129,4,1,108000
64964,4,1,108000
7300,4,1,108000
23457,4,1,108000
34460,4,1,108000
79668,4,1,108000
133426,4,1,108000
135642,4,1,108000
123375,4,1,108000
1530,4,1,108000
41124,4,1,108000
25746,4,1,108000
57735,4,1,108000
18454,4,1,108000
23518,4,1,108000
78891,4,1,108000
112986,4,1,108000
135716,4,1,108000
141357,4,1,108000
141725,4,1,108000
22398,4,1,108000
122703,4,1,108000
126362,4,1,108000
145009,4,1,108000
97270,4,1,108000
90155,4,1,108000
58294,4,1,108000
23176,4,1,108000
109170,4,1,108000
65306,4,1,108000
72421,4,1,108000
36749,4,1,108000
39110,4,1,108000
66939,4,1,108000
122006,4,1,108000
39191,4,1,108000
13016,4,1,108000
48320,4,1,108000
74013,4,1,108000
21815,4,1,108000
60693,4,1,108000
51927,4,1,108000
53618,4,1,108000
126070,4,1,108000
47730,4,1,108000
141090,4,1,108000
22207,4,1,108000
135841,4,1,108000
59367,4,1,108000
151920,4,1,108000
95958,4,1,108000
122414,4,1,108000
131769,4,1,108000
93892,4,1,108000
104181,4,1,108000
108977,4,1,108000
78152,4,1,108000
71187,4,1,108000
84693,4,1,108000
57648,4,1,108000
42225,4,1,108000
159727,4,1,108000
38868,4,1,108000
46632,4,1,108000
21389,4,1,108000
151683,4,1,108000
154500,4,1,108000
13509,4,1,108000
46193,4,1,108000
36749,4,1,108000
33099,4,1,108000
64743,4,1,108000
25915,4,1,108000
137935,4,1,108000
86610,4,1,108000
140916,4,1,108000
121768,4,1,108000
134109,4,1,108000
61713,4,1,108000
126011,4,1,108000
8242,4,1,108000
26071,4,1,108000
90547,4,1,108000
54477,4,1,108000
115603,4,1,108000
52178,4,1,108000
34750,4,1,108000
153629,4,1,108000
118735,4,1,108000
98833,4,1,108000
153334,4,1,108000
95542,4,1,108000
22520,4,1,108000
99414,4,1,108000
140675,4,1,108000
121410,4,1,108000
31709,4,1,108000
35370,4,1,108000
73918,4,1,108000
26133,4,1,108000
28210,4,1,108000
59068,4,1,108000
85008,4,1,108000
153145,4,1,108000
60151,4,1,108000
13470,4,1,108000
138809,4,1,108000
123791,4,1,108000
55725,4,1,108000
139830,4,1,108000
82997,4,1,108000
136612,4,1,108000
11542,4,1,108000
111797,4,1,108000
120644,4,1,108000
38683,4,1,108000
13274,4,1,108000
49135,4,1,108000
78521,4,1,108000
154188,4,1,108000
69853,4,1,108000
116083,4,1,108000
18970,4,1,108000
85221,4,1,108000
145876,4,1,108000
50297,4,1,108000
84495,4,1,108000
155588,4,1,108000
132284,4,1,108000
93522,4,1,108000
75659,4,1,108000
109339,4,1,108000
138004,4,1,108000
22374,4,1,108000
113327,4,1,108000
74566,4,1,108000
114678,4,1,108000
143018,4,1,108000
158900,4,1,108000
49343,4,1,108000
149879,4,1,108000
25050,4,1,108000
66685,4,1,108000
135854,4,1,108000
22019,4,1,108000
54472,4,1,108000
83776,4,1,108000
106939,4,1,108000
133276,4,1,108000
5913,4,1,108000
127660,4,1,108000
68465,4,1,108000
137882,4,1,108000
100768,4,1,108000
67473,4,1,108000
84124,4,1,108000
114897,4,1,108000
74013,4,1,108000
145512,4,1,108000
154129,4,1,108000
39122,4,1,108000
130661,4,1,108000
123880,4,1,108000
108944,4,1,108000
103453,4,1,108000
22532,4,1,108000
160840,4,1,108000
160645,4,1,108000
7254,4,1,108000
58375,4,1,108000
113199,4,1,108000
55749,4,1,108000
36736,4,1,108000
74015,4,1,108000
47041,4,1,108000
101980,4,1,108000
137685,4,1,108000
43058,4,1,108000
105571,4,1,108000
66389,4,1,108000
129357,4,1,108000
22599,4,1,108000
11088,4,1,108000
105151,4,1,108000
63557,4,1,108000
68468,4,1,108000
142119,4,1,108000
138843,4,1,108000
112875,4,1,108000
88100,4,1,108000
141504,4,1,108000
19384,4,1,108000
77077,4,1,108000
117103,4,1,108000
50712,4,1,108000
104254,4,1,108000
21848,4,1,108000
147236,4,1,108000
20548,4,1,108000
5995,4,1,108000
11704,4,1,108000
711,4,1,108000
18942,4,1,108000
39791,4,1,108000
125649,4,1,108000
131042,4,1,108000
47138,4,1,108000
97430,4,1,108000
84071,4,1,108000
38259,4,1,108000
68562,4,1,108000
11974,4,1,108000
77077,4,1,108000
1592,4,1,108000
64966,4,1,108000
131727,4,1,108000
15894,4,1,108000
110085,4,1,108000
114939,4,1,108000
11714,4,1,108000
134264,4,1,108000
74788,4,1,108000
77077,4,1,108000
65943,4,1,108000
60169,4,1,108000
110817,4,1,108000
22581,4,1,108000
113648,4,1,108000
89465,4,1,108000
68374,4,1,108000
37315,4,1,108000
144578,4,1,108000
94764,4,1,108000
137935,4,1,108000
120531,4,1,108000
20879,4,1,108000
89909,4,1,108000
58622,4,1,108000
102097,4,1,108000
125313,4,1,108000
122642,4,1,108000
1542,4,1,108000
66923,4,1,108000
57279,4,1,108000
70780,4,1,108000
23202,4,1,108000
25868,4,1,108000
46622,4,1,108000
120187,4,1,108000
123644,4,1,108000
145232,4,1,108000
19064,4,1,108000
860,4,1,108000
7854,4,1,108000
76100,4,1,108000
25937,4,1,108000
24916,4,1,108000
54081,4,1,108000
43443,4,1,108000
46775,4,1,108000
119640,4,1,108000
3521,4,1,108000
76088,4,1,108000
15055,4,1,108000
107433,4,1,108000
12970,4,1,108000
148104,4,1,108000
110424,4,1,108000
52993,4,1,108000
25591,4,1,108000
4952,4,1,108000
77673,4,1,108000
80694,4,1,108000
148104,4,1,108000
84124,4,1,108000
124246,4,1,108000
122497,4,1,108000
34682,4,1,108000
4931,4,1,108000
71565,4,1,108000
104337,4,1,108000
77457,4,1,108000
68801,4,1,108000
83156,4,1,108000
106231,4,1,108000
146287,4,1,108000
157767,4,1,108000
59509,4,1,108000
10310,4,1,108000
131727,4,1,108000
773,4,1,108000
99575,4,1,108000
6619,4,1,108000
136305,4,1,108000
36504,4,1,108000
88293,4,1,108000
53618,4,1,108000
70984,4,1,108000
43834,4,1,108000
28295,4,1,108000
81990,4,1,108000
29130,4,1,108000
84124,4,1,108000
53675,4,1,108000
31033,4,1,108000
57079,4,1,108000
132406,4,1,108000
87057,4,1,108000
33398,4,1,108000
55859,4,1,108000
28105,4,1,108000
78244,4,1,108000
142613,4,1,108000
70208,4,1,108000
1602,4,1,108000
114509,4,1,108000
116392,4,1,108000
104337,4,1,108000
73277,4,1,108000
118545,4,1,108000
89508,4,1,108000
101156,4,1,108000
84071,4,1,108000
62786,4,1,108000
131042,4,1,108000
45316,4,1,108000
57279,4,1,108000
48728,4,1,108000
27030,4,1,108000
126013,4,1,108000
69889,4,1,108000
29792,4,1,108000
104995,4,1,108000
2827,4,1,108000
35276,4,1,108000
89494,4,1,108000
73609,4,1,108000
107172,4,1,108000
100827,4,1,108000
56982,4,1,108000
11692,4,1,108000
143592,4,1,108000
21827,4,1,108000
61221,4,1,108000
64052,4,1,108000
3770,4,1,108000
29166,4,1,108000
34766,4,1,108000
17571,4,1,108000
59064,4,1,108000
75653,4,1,108000
137935,4,1,108000
135547,4,1,108000
106149,4,1,108000
108797,4,1,108000
137579,4,1,108000
104540,4,1,108000
94895,4,1,108000
99091,4,1,108000
97542,4,1,108000
8951,4,1,108000
94821,4,1,108000
56336,4,1,108000
102801,4,1,108000
44782,4,1,108000
45422,4,1,108000
109750,4,1,108000
120758,4,1,108000
49841,4,1,108000
57279,4,1,108000
85308,4,1,108000
137343,4,1,108000
91518,4,1,108000
120595,4,1,108000
30609,4,1,108000
35077,4,1,108000
124303,4,1,108000
107183,4,1,108000
2340,4,1,108000
100788,4,1,108000
69265,4,1,108000
125649,4,1,108000
122748,4,1,108000
44120,4,1,108000
67539,4,1,108000
58622,4,1,108000
136254,4,1,108000
16005,4,1,108000
48678,4,1,108000
81212,4,1,108000
99406,4,1,108000
100788,4,1,108000
150720,4,1,108000
44194,4,1,108000
131727,4,1,108000
24984,4,1,108000
102883,4,1,108000
118545,4,1,108000
20907,4,1,108000
130527,4,1,108000
122841,4,1,108000
72972,4,1,108000
62399,4,1,108000
139269,4,1,108000
108237,4,1,108000
46006,4,1,108000
158548,4,1,108000
140111,4,1,108000
55444,4,1,108000
48877,4,1,108000
113644,4,1,108000
145789,4,1,108000
156709,4,1,108000
69637,4,1,108000
7988,4,1,108000
137935,4,1,108000
22187,4,1,108000
67167,4,1,108000
94861,4,1,108000
61286,4,1,108000
27871,4,1,108000
48605,4,1,108000
108380,4,1,108000
136661,4,1,108000
62934,4,1,108000
45885,4,1,108000
79163,4,1,108000
39110,4,1,108000
8044,4,1,108000
81020,4,1,108000
36745,4,1,108000
20357,4,1,108000
149337,4,1,108000
137935,4,1,108000
67440,4,1,108000
18710,4,1,108000
30522,4,1,108000
11294,4,1,108000
153217,4,1,108000
13607,4,1,108000
3961,4,1,108000
131546,4,1,108000
140916,4,1,108000
110973,4,1,108000
1590,4,1,108000
143297,4,1,108000
131727,4,1,108000
96516,4,1,108000
136629,4,1,108000
26897,4,1,108000
24709,4,1,108000
94271,4,1,108000
15105,4,1,108000
15698,4,1,108000
70231,4,1,108000
34074,4,1,108000
34210,4,1,108000
94887,4,1,108000
154220,4,1,108000
96050,4,1,108000
136895,4,1,108000
59619,4,1,108000
2060,4,1,108000
67697,4,1,108000
140196,4,1,108000
102097,4,1,108000
103902,4,1,108000
124618,4,1,108000
142666,4,1,108000
72227,4,1,108000
131727,4,1,108000
125649,4,1,108000
